Tabela 1301 - Área e Densidade demográfica da unidade territorial;;;
Variável - Densidade demográfica da unidade territorial (Habitante por quilômetro quadrado);;;
Nível;Cód.;Município;Ano
MU;2105963;Lagoa Grande do Maranhão (MA);14,13
MU;2105989;Lajeado Novo (MA);6,61
MU;2106003;Lima Campos (MA);35,48
MU;2106102;Loreto (MA);3,17
MU;2106201;Luís Domingues (MA);14,03
MU;2106300;Magalhães de Almeida (MA);40,6
MU;2106326;Maracaçumé (MA);30,44
MU;2106359;Marajá do Sena (MA);5,56
MU;2106375;Maranhãozinho (MA);14,46
MU;2106409;Mata Roma (MA);27,63
MU;2106508;Matinha (MA);53,54
MU;2106607;Matões (MA);15,69
MU;2106631;Matões do Norte (MA);17,36
MU;2106672;Milagres do Maranhão (MA);12,79
MU;2106706;Mirador (MA);2,42
MU;2106755;Miranda do Norte (MA);71,61
MU;2106805;Mirinzal (MA);20,67
MU;2106904;Monção (MA);24,38
MU;2107001;Montes Altos (MA);6,32
MU;2107100;Morros (MA);10,37
MU;2107209;Nina Rodrigues (MA);21,77
MU;2107258;Nova Colinas (MA);6,57
MU;2107308;Nova Iorque (MA);4,7
MU;2107357;Nova Olinda do Maranhão (MA);7,8
MU;2107407;Olho d'Água das Cunhãs (MA);26,75
MU;2107456;Olinda Nova do Maranhão (MA);66,69
MU;2107506;Paço do Lumiar (MA);842,63
MU;2107605;Palmeirândia (MA);35,7
MU;2107704;Paraibano (MA);37,89
MU;2107803;Parnarama (MA);10,06
MU;2107902;Passagem Franca (MA);12,93
MU;2108009;Pastos Bons (MA);11,05
MU;2108058;Paulino Neves (MA);14,83
MU;2108108;Paulo Ramos (MA);19,06
MU;2108207;Pedreiras (MA);136,77
MU;2108256;Pedro do Rosário (MA);12,99
MU;2108306;Penalva (MA);46,42
MU;2108405;Peri Mirim (MA);34,06
MU;2108454;Peritoró (MA);25,71
MU;2108504;Pindaré-Mirim (MA);127,25
MU;2108603;Pinheiro (MA);51,66
MU;2108702;Pio XII (MA);40,39
MU;2108801;Pirapemas (MA);25,24
MU;2108900;Poção de Pedras (MA);20,13
MU;2109007;Porto Franco (MA);15,19
MU;2109056;Porto Rico do Maranhão (MA);28,31
MU;2109106;Presidente Dutra (MA);57,97
MU;2109205;Presidente Juscelino (MA);32,54
MU;2109239;Presidente Médici (MA);14,56
MU;2109270;Presidente Sarney (MA);23,7
MU;2109304;Presidente Vargas (MA);23,33
MU;2109403;Primeira Cruz (MA);10,2
MU;2109452;Raposa (MA);409,1
